"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"NKG7",0,-4.53730900170359,0.093,0.733,0
"CCL5",0,-2.86150335405043,0.262,0.856,0
"CD8A",0,-2.72067024595564,0.162,0.745,0
"GZMK",0,-3.05964388090379,0.148,0.707,0
"TNFRSF4",0,3.67437722744925,0.66,0.112,0
"CCL4",0,-5.36726694367918,0.032,0.523,0
"SLA2",0,-3.07230909301994,0.121,0.569,0
"SESN3",0,2.30379825539333,0.662,0.222,0
"EOMES",0,-4.70071035595851,0.033,0.472,0
"CD8B",0,-2.69780490196426,0.103,0.538,0
"LTB",0,2.29057462825316,0.675,0.242,0
"PRF1",0,-3.43945263766019,0.083,0.513,0
"ITM2C",0,-2.30334143330904,0.167,0.585,0
"SELL",0,2.74188843050828,0.502,0.118,0
"AKNA",0,-2.04330192610679,0.321,0.703,0
"CST7",0,-2.25950801645561,0.472,0.853,0
"S100A11",0,1.55260769077883,0.826,0.474,0
"GK",0,3.12895445529237,0.435,0.088,0
"TSHZ2",0,3.24414262772408,0.375,0.05,0
"TMEM173",0,3.48035255697411,0.372,0.061,0
"FXYD5",0,1.24843967174851,0.968,0.79,0
"LDHA",0,-1.4273819130053,0.845,0.95,0
"PABPC1",0,1.17025146373058,0.99,0.963,0
"FTH1",0,1.34452458826563,0.999,0.98,0
"APOBEC3G",5.88505164370703e-306,-2.77143526208058,0.123,0.523,1.07973042507093e-301
"GZMH",1.97516957686785e-298,-4.93865224708341,0.024,0.401,3.62384362267944e-294
"RPS27",8.91969361689537e-298,-0.434542737534203,1,0.997,1.63649618789179e-293
"RPS29",2.03364784890034e-292,-0.55676479012322,0.998,0.993,3.73113370837746e-288
"DUSP2",8.62635402645033e-289,-1.09327679277718,0.681,0.923,1.58267717323284e-284
"SARAF",2.56277209425773e-285,0.663664869615418,0.996,0.979,4.70191796133466e-281
"TNFRSF18",1.57445080243394e-271,2.16890843032006,0.44,0.133,2.88864488722556e-267
"CMC1",2.76234642707308e-271,-3.79242157120126,0.08,0.436,5.06807698975099e-267
"CTSW",7.26206281216638e-263,-2.2418209561364,0.14,0.518,1.33237066414817e-258
"CCR7",7.93445393173631e-258,1.74097020871646,0.707,0.41,1.45573426285566e-253
"GZMB",1.19505441674917e-257,-3.13633802099037,0.075,0.435,2.1925663384097e-253
"IFITM3",6.4722313246906e-246,2.30707061533541,0.343,0.083,1.18746028114099e-241
"TNFRSF25",7.30942233062085e-246,1.94919321581558,0.418,0.129,1.34105971499901e-241
"RPL12",3.72108727086777e-243,0.551534367236121,0.997,0.966,6.82707881586109e-239
"SLC7A5",2.6426899349535e-241,-1.51165946032465,0.4,0.72,4.84854322365919e-237
"OAZ1",3.9130018848819e-240,-0.577153130372835,0.97,0.984,7.17918455819283e-236
"ITGB1",9.32652000750292e-239,1.57847469315665,0.617,0.308,1.71113662577656e-234
"TIMP1",2.94586508448436e-237,2.80884817139398,0.34,0.086,5.40477867050345e-233
"LCP1",4.4158570608128e-237,-1.13397914802968,0.611,0.828,8.10177294947325e-233
"FAAH2",1.75112528029972e-227,2.26992094629662,0.332,0.084,3.2127895517659e-223
"DKK3",2.10075367940881e-223,-5.39089929810462,0.015,0.315,3.85425277561134e-219
"CD55",2.96465939058023e-223,1.83794402645429,0.677,0.394,5.43926058389755e-219
"AOAH",3.75717361460049e-221,-3.09147636902945,0.065,0.384,6.89328643070751e-217
"PKIA",4.42524189239047e-221,2.45908667403385,0.285,0.061,8.11899129996879e-217
"HSPA8",4.0783239507778e-220,-0.761511019774509,0.971,0.986,7.48250095249202e-216
"ICAM2",1.41983819283646e-219,2.32005869920557,0.341,0.094,2.60497713239706e-215
"SAMD3",1.22257060695202e-217,-3.28354240616048,0.045,0.357,2.24305029257487e-213
"CCR4",9.20174504629472e-211,2.36961039275763,0.337,0.095,1.68824416364369e-206
"KLRD1",1.13545371525577e-210,-4.69592821321187,0.024,0.314,2.08321693137976e-206
"GGA2",2.84818964923649e-210,-1.76370651182787,0.243,0.564,5.22557354945418e-206
"CTSB",2.99889382119165e-210,1.71395734940265,0.475,0.194,5.50207049374033e-206
"NAA50",4.48498866700764e-204,-1.54193678040835,0.316,0.619,8.22860870735891e-200
"GZMM",2.17713846816221e-202,-1.67008808789638,0.27,0.577,3.99439594753721e-198
"RPL11",7.47563580084629e-201,0.415748932623236,1,0.986,1.37155490038127e-196
"EEF1A1",7.22207529375387e-195,0.406368228442076,1,0.996,1.32503415414502e-190
"C1orf21",1.14975411730435e-192,-5.05238033798476,0.015,0.282,2.10945387901828e-188
"EMP3",2.50808449396593e-188,1.34924558398571,0.702,0.447,4.6015826210793e-184
"RPS8",3.69282782264312e-182,0.468288854070051,0.998,0.98,6.77523120620333e-178
"TRMO",5.8595694900046e-182,-2.81557552221951,0.077,0.359,1.07505521433114e-177
"TYMP",1.77086804680461e-179,1.693684261771,0.426,0.173,3.24901160547241e-175
"AUTS2",3.68670831804292e-177,-3.10619777584261,0.058,0.332,6.76400375111335e-173
"OASL",1.57864585105967e-176,-1.56579437400951,0.23,0.529,2.89634154293918e-172
"TESPA1",1.68567655391217e-173,1.99181961466038,0.297,0.084,3.09271077346266e-169
"CLEC2B",4.82636151057489e-172,-1.12693991260355,0.427,0.695,8.85492546345175e-168
"SPOCK2",2.68663294740455e-171,0.649762724761558,0.954,0.856,4.92916546860312e-167
"HSP90AA1",6.14301097134592e-166,-0.879405923216452,0.943,0.974,1.12705822291284e-161
"LITAF",3.14605765414415e-165,-0.980353676715388,0.597,0.793,5.77207197805827e-161
"ZEB2",8.07258938390386e-164,-2.17391517821767,0.127,0.403,1.48107797426484e-159
"SNX9",1.62364881252214e-163,1.37041177919861,0.489,0.231,2.97890847633437e-159
"ABI3",4.71677948409848e-163,-2.96601803707279,0.059,0.314,8.65387531947548e-159
"CXCR3",7.88787323362758e-162,-1.25942822510646,0.262,0.561,1.44718810217365e-157
"RPL4",1.07837169100878e-161,0.567403803780871,0.958,0.903,1.97848854149381e-157
"IL7R",1.18336391860429e-158,0.755930248473687,0.927,0.693,2.17111778146329e-154
"COTL1",1.74199893894718e-158,-0.977540886182965,0.507,0.733,3.19604545328638e-154
"RPL32",4.5722443416494e-158,0.353463514524408,1,0.987,8.38869669362416e-154
"RPL18A",6.66246890016519e-153,0.350390666326178,0.999,0.985,1.22236316911331e-148
"PTMA",7.39911578975736e-152,-0.36813849245014,1,0.995,1.35751577394678e-147
"FASLG",2.98349559983458e-149,-2.62036519018584,0.058,0.303,5.4738193770165e-145
"AC090498.1",3.05885695349795e-149,-0.626049666628612,0.918,0.953,5.61208485258269e-145
"RPS2",7.63601082979544e-149,0.439137412380771,0.996,0.973,1.40097890694257e-144
"SLC2A3",7.8172989443653e-149,1.21739411086433,0.617,0.365,1.4342398373227e-144
"RPL10",6.43863582703036e-148,0.337901068677505,0.999,0.994,1.18129651518526e-143
"PIM1",5.20026786440233e-147,1.0420909388253,0.587,0.326,9.54093145081896e-143
"TNIK",5.21419905607842e-145,1.34789088639227,0.526,0.285,9.56649100818707e-141
"GZMA",6.4720470571313e-142,-1.24876816411518,0.183,0.465,1.18742647357188e-137
"LAG3",1.27273530974675e-141,-1.76386599665777,0.125,0.388,2.33508747279237e-137
"LEF1",5.11584395856204e-140,1.63685663781654,0.279,0.087,9.38603891077378e-136
"GYG1",5.16084910281986e-136,-1.75157263620879,0.169,0.418,9.46860984894359e-132
"RUNX3",5.61535126137774e-135,-1.59020024761409,0.218,0.476,1.03024849592497e-130
"LYAR",7.44821644672636e-135,-1.63631649651567,0.179,0.433,1.36652427148089e-130
"METRNL",1.04947801349456e-134,-2.56315283824811,0.072,0.303,1.92547731135848e-130
"HLA-DPB1",1.70146234325336e-132,-1.65410054866363,0.253,0.494,3.12167296116693e-128
"RPL34",1.87514981913345e-132,0.328982073645928,0.999,0.987,3.44033737316415e-128
"APMAP",1.15375011215304e-130,-1.09447634158272,0.395,0.62,2.11678533076717e-126
"RNASET2",2.76014949254459e-130,1.3461412767312,0.515,0.292,5.06404627397157e-126
"IL4R",1.62787575291721e-129,1.51482257532667,0.367,0.159,2.98666364387721e-125
"PASK",2.969059987136e-128,1.62696966577184,0.307,0.114,5.44733435839842e-124
"GNB2L1",2.96963121698961e-128,0.412675266257049,0.987,0.961,5.44838239381083e-124
"GAPDH",4.95998293551278e-128,-0.517703580766771,0.968,0.987,9.1000806917853e-124
"MFHAS1",5.66913619511692e-128,1.46698003843014,0.251,0.076,1.0401164177181e-123
"IRF1",2.46724253135441e-124,-1.15346058567735,0.346,0.584,4.52664987227594e-120
"RPL14",3.20899182915322e-124,0.371152762654316,0.996,0.967,5.88753730894741e-120
"EEF2",5.4895417880163e-124,0.498882846202608,0.961,0.915,1.00716623184735e-119
"RPL29",6.34217571462519e-124,0.332815373021774,0.995,0.978,1.16359897836228e-119
"VIM",5.01333996696318e-122,0.811307854183872,0.901,0.786,9.19797483738734e-118
"RPS3A",3.68745204160536e-121,0.356782634027854,0.997,0.982,6.76536826073335e-117
"RPL13",4.4818179535273e-121,0.291881616642902,1,0.994,8.22279139933653e-117
"ICOS",8.70994083836718e-121,1.41795148576361,0.379,0.172,1.59801284561523e-116
"HLA-DPA1",8.50702387083241e-119,-1.41428279799691,0.275,0.507,1.56078366958162e-114
"GPR183",1.06930333960141e-118,1.32725605351422,0.633,0.44,1.96185083716671e-114
"NR3C1",1.98744085712097e-118,0.781729633857322,0.844,0.735,3.64635774055984e-114
"UBB",2.76141920240555e-118,-0.745705617908054,0.787,0.884,5.06637581065347e-114
"TMSB4X",6.48686749321859e-117,0.373549495344976,0.999,0.992,1.19014557898082e-112
"CD5",1.50141233732386e-116,1.04791705275873,0.647,0.432,2.75464121528808e-112
"S1PR1",1.95481467347634e-116,1.03873687620833,0.596,0.374,3.58649848142704e-112
"YBX3",7.9891765317697e-113,-2.23593106781991,0.067,0.271,1.46577421828379e-108
"HSP90AB1",8.34573317103997e-113,-0.61585395565033,0.898,0.95,1.5311916648907e-108
"THEM4",2.26540676141043e-112,1.56774256911017,0.282,0.107,4.15634178515972e-108
"CBLB",1.88268695720054e-111,-1.15738577774187,0.309,0.544,3.45416576037583e-107
"RHBDD2",3.05184130181335e-110,1.17273059244514,0.469,0.26,5.59921323643695e-106
"NDUFS5",5.69591672617609e-108,-0.548125673459699,0.846,0.906,1.04502984175153e-103
"OGDH",1.2776728120095e-107,1.33195580682913,0.369,0.174,2.34414630819384e-103
"NFATC1",2.03898407574894e-107,1.58479321231059,0.295,0.12,3.74092408377657e-103
"RPL3",2.31297414842962e-105,0.369440435688095,0.99,0.969,4.24361367012383e-101
"SH2D1A",9.10207090030091e-105,-1.12612029273016,0.222,0.453,1.66995694807821e-100
"RPL23A",1.37540953202489e-104,-0.311195995488759,0.993,0.983,2.52346386840606e-100
"RPLP0",1.60264838903207e-104,0.355178505808508,0.996,0.979,2.94037899935714e-100
"EZR",3.05752377809231e-103,0.914157869641399,0.853,0.729,5.60963887566596e-99
"MAGOH",2.6625667436933e-100,-0.857984093401921,0.518,0.687,4.88501120465409e-96
"ANXA2",4.43935024274764e-100,1.11493442399203,0.591,0.407,8.1448758903691e-96
"TBCD",8.78586925210775e-100,-2.00001750671938,0.102,0.299,1.61194343168421e-95
"HNRNPA2B1",2.40857008623589e-99,-0.556221648351623,0.921,0.95,4.41900353721699e-95
"KLF2",1.02952443859202e-97,1.15170428924487,0.395,0.201,1.88886848748478e-93
"SEPT7",1.31359852044484e-96,-0.772357944309041,0.62,0.739,2.41005920546015e-92
"RPS4X",4.69116275504963e-96,0.316805751825481,0.997,0.973,8.60687630668956e-92
"JMJD6",9.58763257187041e-95,-1.23856433555806,0.265,0.47,1.75904294796106e-90
"PTPN22",1.28684126485764e-94,-1.23434800308483,0.287,0.49,2.36096766863431e-90
"CD3G",1.50376729363829e-94,-0.989715004311455,0.401,0.602,2.75896185363816e-90
"SYTL3",1.72639441195416e-94,-0.986260851726734,0.386,0.578,3.16741582761229e-90
"PPP1R16B",2.19155983408315e-93,-1.1736395986662,0.283,0.486,4.02085482759235e-89
"CMSS1",3.1902770209613e-93,1.25180117104365,0.422,0.233,5.8532012503577e-89
"RPL22",8.1245972172817e-93,0.357889067089765,0.981,0.954,1.49061985145467e-88
"PRR5L",1.51741823578387e-92,-1.61443293782434,0.129,0.327,2.78400723719266e-88
"GNG2",2.86416304862124e-92,-0.899158263761133,0.475,0.651,5.2548799453054e-88
"RPL5",5.61285934282711e-92,0.373575205839794,0.981,0.949,1.02979130362849e-87
"IL2RG",4.1917105250225e-91,0.558936873180909,0.909,0.803,7.69053130025879e-87
"SLC3A2",2.55409694543769e-90,-0.551419078286937,0.763,0.865,4.68600166579453e-86
"ACTG1",7.38583769492429e-90,0.611346944281582,0.902,0.8,1.35507964188776e-85
"LYST",1.62036029443731e-88,-1.14145114864151,0.307,0.502,2.97287503220413e-84
"HLA-DRB1",1.19045100274792e-86,-1.19455800892289,0.362,0.556,2.18412045474161e-82
"KDSR",1.78812134890831e-86,1.19677045548233,0.313,0.145,3.28066623884208e-82
"HLA-DRB5",1.27125263782774e-84,-1.28964041521273,0.263,0.464,2.33236721462256e-80
"UXS1",3.12987950171594e-84,1.46569637320846,0.256,0.108,5.74238992179823e-80
"ANP32B",5.23446558072724e-84,0.720581056787552,0.683,0.514,9.60367400096027e-80
"AQP3",5.25961747572411e-84,1.51678918170286,0.34,0.173,9.64982018271103e-80
"MGAT1",9.69326534710206e-84,-1.09717723783638,0.302,0.493,1.77842339323282e-79
"AP3M2",9.77099143743781e-84,1.326214868247,0.262,0.112,1.79268379902672e-79
"MLLT3",2.0324967890919e-83,-1.36956905544668,0.194,0.383,3.72902185894691e-79
"ZBTB38",2.2712795381788e-83,-1.52508242117117,0.157,0.342,4.16711656869664e-79
"TMBIM1",4.10798845922843e-83,1.1655005245067,0.415,0.239,7.5369264261464e-79
"SMC4",4.51241541709057e-82,1.63900646473879,0.366,0.201,8.27892856573608e-78
"IFNAR2",5.38084888932959e-82,1.14863451844794,0.329,0.162,9.872243457253e-78
"DCXR",1.92744147619082e-81,0.922252316948851,0.626,0.464,3.5362768763673e-77
"LBH",2.3495716848563e-81,-0.92466132309259,0.405,0.595,4.31075917020585e-77
"NSMCE1",2.54835406754809e-81,1.46352687605281,0.274,0.124,4.67546520773048e-77
"ARRDC2",5.34660827366998e-80,1.06202409733417,0.333,0.167,9.80942219970232e-76
