"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FOS",0,1.70183041084409,0.417,0.103,0
"DUSP1",0,0.985701087049056,0.644,0.341,0
"RARRES3",0,0.827573988388177,0.705,0.46,0
"IGKC",0,5.90189882728787,0.24,0.005,0
"JUN",0,0.892753814603053,0.851,0.622,0
"IGHG1",0,5.29055758466032,0.156,0.004,0
"EEF1B2",0,0.425219143168996,0.972,0.878,0
"RPL27",0,0.365645595467416,0.995,0.952,0
"RPL13A",0,0.428293649453247,0.995,0.965,0
"UBA52",0,0.325222913984654,0.997,0.969,0
"RPL3",0,0.370411183943639,0.996,0.969,0
"RPL9",0,0.36408064617673,0.998,0.975,0
"RPL12",0,0.49408532887934,0.999,0.977,0
"RPS4X",0,0.384008368451743,0.999,0.978,0
"RPS9",0,0.3290865696249,0.998,0.977,0
"RPS13",0,0.311853868206417,0.999,0.979,0
"RPS2",0,0.820257554418956,0.999,0.979,0
"RPL23A",0,0.490837973486935,0.999,0.979,0
"RPS7",0,0.304634630932206,0.999,0.981,0
"RPL29",0,0.327374021324133,0.999,0.983,0
"RPS8",0,0.424010868789713,0.999,0.985,0
"RPS3A",0,0.417631703950278,1,0.986,0
"RPS6",0,0.302474019328849,0.999,0.985,0
"RPL7A",0,0.362510348970155,0.999,0.985,0
"RPL35A",0,0.399290751916192,0.999,0.986,0
"RPS25",0,0.399730813368918,0.999,0.986,0
"RPS23",0,0.424764982453321,0.999,0.987,0
"FAU",0,0.311206912616258,1,0.988,0
"RPS18",0,0.363805330986795,1,0.989,0
"RPL18A",0,0.310285424170201,0.999,0.988,0
"MT-ATP8",0,-0.718691211433087,0.986,0.975,0
"RPL34",0,0.377529410438549,1,0.99,0
"RPL37",0,0.313761930164516,1,0.99,0
"RPS3",0,0.419904298356427,1,0.99,0
"RPL11",0,0.318410747263081,0.999,0.99,0
"RPS14",0,0.467452774101524,0.999,0.99,0
"RPLP2",0,0.319436778814637,0.999,0.99,0
"RPL19",0,0.374787847515539,1,0.991,0
"RPS28",0,0.428191448670989,1,0.991,0
"RPL32",0,0.36376526889501,0.999,0.991,0
"RPS12",0,0.400769335390254,1,0.992,0
"RPL39",0,0.324389803669684,0.999,0.991,0
"RPL30",0,0.433570781071626,1,0.992,0
"MT-ND4",0,-0.709236909668908,0.973,0.981,0
"RPS27A",0,0.409987918288207,1,0.993,0
"RPS15A",0,0.402959686991618,0.999,0.992,0
"MT-ATP6",0,-0.594117766295652,0.998,0.993,0
"RPL10",0,0.350429812760457,1,0.996,0
"RPLP1",0,0.282210856775745,1,0.996,0
"RPL28",0,0.333872835788891,1,0.996,0
"RPS27",0,0.36580493139589,1,0.997,0
"EEF1A1",0,0.346281638165685,1,0.997,0
"RPL13",3.20538300987323e-306,0.261606871724673,1,0.995,5.88091620821442e-302
"RPL24",1.89399003426971e-294,0.313263209622674,0.996,0.961,3.47490351587465e-290
"RPL8",5.3468412019766e-288,0.271025568220626,0.999,0.986,9.80984955326647e-284
"RPL37A",4.16203550574465e-287,0.321242281565659,0.998,0.979,7.63608654238971e-283
"MT-CO2",7.09686448343142e-287,-0.338456893321102,0.998,0.994,1.30206172677516e-282
"RPS20",7.98146547819328e-284,0.421748152337578,0.952,0.841,1.46435947128412e-279
"RPS24",3.41948707949085e-278,0.285178654450869,0.998,0.981,6.27373294474185e-274
"RPL27A",2.38466074963027e-274,0.413947372663558,0.972,0.888,4.37513707734665e-270
"RPL10A",1.56654172444964e-264,0.333992969290368,0.989,0.936,2.87413410184775e-260
"RPL14",4.28125588902234e-258,0.273457655907462,0.998,0.973,7.85482017958928e-254
"MT-ND3",8.83233083597649e-258,-0.45566171069151,0.981,0.98,1.62046773847661e-253
"RPL31",1.412946961196e-252,0.349086426839504,0.983,0.902,2.59233378970629e-248
"IGLC2",2.0448592668486e-252,7.12839370137338,0.078,0,3.75170329688712e-248
"CTSW",1.3436130538483e-247,0.679653316265357,0.52,0.289,2.46512686989547e-243
"IL9R",2.82792318725246e-246,1.58240161838076,0.242,0.09,5.18839067165209e-242
"NACA",2.38220560001115e-241,0.283463715182964,0.997,0.96,4.37063261434045e-237
"IGHG2",2.52648688462947e-239,6.14998241479848,0.075,0.001,4.63534548722968e-235
"GADD45B",5.15314529286353e-238,1.2004008858965,0.51,0.303,9.45447566881671e-234
"ODC1",1.54890179572392e-234,0.877759108643789,0.421,0.226,2.84177012461468e-230
"MT-CYB",7.00272052931082e-232,-0.394904320651865,0.991,0.987,1.28478913551266e-227
"RPL23",3.33690137708585e-231,0.397958402546921,0.926,0.786,6.12221295653941e-227
"RPL22",1.2939618372831e-228,0.28410296122068,0.992,0.949,2.3740317828633e-224
"RPL18",2.20715177295802e-228,0.210961561348208,0.999,0.989,4.04946135784609e-224
"NENF",2.0098411487358e-218,1.23761947087933,0.238,0.093,3.68745555558556e-214
"PPP1R15A",2.79622127163871e-218,0.703364468588122,0.596,0.4,5.13022716707555e-214
"COTL1",4.28338595712747e-218,0.346989399976745,0.849,0.635,7.85872821554176e-214
"RPS16",1.44903858035165e-213,0.262867443071607,0.999,0.985,2.65855108337116e-209
"GSTP1",1.77019074381162e-208,0.623362347021819,0.566,0.352,3.24776895767118e-204
"RPS5",2.4588226646899e-205,0.257882387324763,0.996,0.96,4.51120194290657e-201
"IGKV3-15",1.55372756558535e-204,11.1580775594352,0.062,0,2.85062396457945e-200
"MTRNR2L12",3.39757110897905e-202,-0.821501348292534,0.975,0.971,6.23352371364386e-198
"NMB",3.13462849129788e-200,1.63419055877157,0.341,0.183,5.75110289298421e-196
"GZMM",1.34330974180839e-198,0.68034572645348,0.543,0.348,2.46457038329585e-194
"FOSB",3.57276306658137e-196,1.35588614950512,0.154,0.045,6.55494839825683e-192
"RSRP1",8.5963268141567e-193,-0.684462797199515,0.677,0.749,1.57716808059333e-188
"EEF1D",7.25171796883574e-192,0.275915151850598,0.985,0.929,1.33047269574229e-187
"RPL6",3.16297275507045e-190,0.226072163574235,0.998,0.978,5.80310611372776e-186
"RPSA",7.66831500022708e-190,0.258381032387748,0.997,0.963,1.40690575309166e-185
"RPS15",1.22529247925363e-188,0.186110664767762,0.999,0.992,2.24804411168664e-184
"CD8A",5.13437997513337e-185,0.599284634821372,0.594,0.425,9.4200469403772e-181
"RGS2",4.14994990274794e-176,0.699361532223737,0.536,0.351,7.61391308657164e-172
"TOMM7",1.05289360515337e-175,0.332070294764295,0.952,0.852,1.93174389737489e-171
"IGKV3-20",1.04450719253594e-172,3.87097654222268,0.057,0.001,1.91635734614569e-168
"IGHG4",3.36309280673052e-172,7.51744729179666,0.054,0,6.17026637250849e-168
"CTSC",5.420756140677e-171,-1.24619196357431,0.431,0.518,9.9454612913001e-167
"IGHA1",2.57018560715727e-168,4.70013251595193,0.058,0.002,4.71551953345145e-164
"IGHG3",2.83227245881972e-166,5.83011884741769,0.053,0.001,5.19637028019653e-162
"PSMB9",4.11763946134839e-166,0.491617036324491,0.724,0.547,7.55463311973589e-162
